Name,Interaction,Quality,Attack,Defense,Trait 1,Trait 2,Trait 3,Trait 4,Trait 5,Trait 6,Points,,Attack multiplier,5,,Trait 1,Trait 2,Trait 3,Trait 4,Trait 5,Trait 6,,defense,Trait 1,Trait 2,Trait 3,Trait 4,Trait 5,Trait 6,df,,Trait 1,Trait 2,Trait 3,Trait 4,Trait 5,Trait 6
,0,6,-1,4,,,,,,,4,,Defense multiplier,5,,0,0,0,0,0,0,,2,1,1,1,1,1,1,2,,0,0,0,0,0,0
,9,4,1,5,0,,,,,,25,,,,,0,0,0,0,0,0,,3,1,1,1,1,1,1,3,,0,0,0,0,0,0
,13,4,1,6,,,,,,,29,,Divisor,"3,6",,0,0,0,0,0,0,,6,1,1,1,1,1,1,6,,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAGONSLAYERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwarven Dragonslayers,29,4,3,7,"Slayers - L, R3",Resilient - L,Slow,Fearless,,,59,,,,,5,12,-1,5,0,0,,7,1,1,1,1,1,1,7,,5,12,-1,5,0,0
Elite Dragonslayers,34,3,3,7,"Slayers - L, R3",Resilient - L,Fearless,,,,80,,,,,5,12,5,0,0,0,,7,1,1,1,1,1,1,7,,5,12,5,0,0,0
Dwarven Giantslayers,30,4,3,7,"Slayers - L, R3",Resilient - L,,Fearless,,,60,,,,,5,12,0,5,0,0,,7,1,1,1,1,1,1,7,,5,12,0,5,0,0
Hero Dragonslayer,41,3,4,7,"Slayers - L, R3",Hero - P,Shooters 2 - L,Fearless,,,99,,,,,5,8,16,5,0,0,,7,1,1,1,1,1,1,7,,5,8,16,5,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONSTERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Dragon,129,3,4,8,Flying - L,"Monster Level 3 - L, R3",Dragon Breath level 6 – R1,Tough - L,Extra Lives x4 - P,Fear,617,,,,,18,60,300,24,80,13,,8,1,1,1,1,1,1,8,,18,60,300,24,80,13
Small Land Wyrm,89,4,3,7,"Monster Level 2 - L, R3",Dragon Breath level 2 - R3,Tough - L,Extra Lives x2 - L,Poison/Venom - L,,148,,,,,35,40,24,20,8,0,,7,1,1,1,3,1,1,21,,35,40,24,0,8,0
Great Land Wyrm,147,3,3,7,"Monster Level 3 - L, R3",Dragon Breath level 3 – R2,Tough - L,Extra Lives x3 - L,Poison/Venom - L,,291,,,,,60,80,24,40,8,0,,7,1,1,1,4,1,1,28,,60,80,24,0,8,0
"Ballista, Scorpion",16,4,1,5,Artillery level 2 – L,,,,,,42,,,,,20,0,0,0,0,0,,3,1,1,1,1,1,1,3,,20,0,0,0,0,0
Stone Thrower,21,4,1,5,Artillery level 3 - L,,,,,,58,,,,,40,0,0,0,0,0,,3,1,1,1,1,1,1,3,,40,0,0,0,0,0
Catapult,21,4,1,5,Artillery level 3 - L,,,,,,58,,,,,40,0,0,0,0,0,,3,1,1,1,1,1,1,3,,40,0,0,0,0,0
Small Cannon,28,4,1,5,Artillery level 4 – L,,,,,,92,,,,,80,0,0,0,0,0,,3,1,1,1,1,1,1,3,,80,0,0,0,0,0
Large Cannon,39,4,1,5,Artillery level 5 – R1,,,,,,158,,,,,160,0,0,0,0,0,,3,1,1,1,1,1,1,3,,160,0,0,0,0,0
Gorgon,40,3,2,6,"Monster Level 2 - L, R3",Poison/Venom - L,Gaze Attack Level 1 - P,,,,101,,,,,35,8,8,0,0,0,,6,1,1,1,1,1,1,6,,35,8,8,0,0,0
Gigantogorgon,53,3,2,7,"Monster Level 3 - L, R3",Poison/Venom - L,Gaze Attack Level 2 - P,,,,143,,,,,60,8,16,0,0,0,,7,1,1,1,1,1,1,7,,60,8,16,0,0,0
Medusa with Bow,46,3,2,6,"Monster Level 2 - L, R3",Shooters 2 - L,Poison/Venom - L,Gaze Attack Level 2 - P,,,128,,,,,35,16,8,16,0,0,,6,1,1,1,1,1,1,6,,35,16,8,16,0,0
Catoblepas,48,4,1,6,"Monster Level 2 - L, R3",Gaze Attack Level 2 - P,Slow,Swamp-Walk,Ambushers - L,,76,,,,,35,16,-1,3,3,0,,6,1,1,1,2,1,1,12,,35,16,-1,0,3,0
Giant Snake,34,4,3,6,"Monster Level 2 - L, R3",Poison/Venom - L,Ambushers - L,,,,76,,,,,35,8,3,0,0,0,,6,1,1,1,1,1,1,6,,35,8,3,0,0,0
Norindaal Bearwolf,20,4,2,6,Forester,Fast,Animal,,,,39,,,,,5,4,-2,0,0,0,,6,1,1,1,1,1,1,6,,5,4,-2,0,0,0
Bear,27,4,2,6,Forester,Tough - L,Animal,,,,56,,,,,5,24,-2,0,0,0,,6,1,1,1,1,1,1,6,,5,24,-2,0,0,0
Boar,19,4,1,6,Resilient - L,Animal,,,,,38,,,,,12,-2,0,0,0,0,,6,1,1,1,1,1,1,6,,12,-2,0,0,0,0
Giant Eagle,39,4,2,7,Flying - L,"Monster Level 2 - L, R3",Fast,0,,,85,,,,,18,35,4,0,0,0,,7,1,1,1,1,1,1,7,,18,35,4,0,0,0
Bear-Owl Monster,31,4,2,6,"Monster Level 2 - L, R3",Forester,Animal,,,,65,,,,,35,5,-2,0,0,0,,6,1,1,1,1,1,1,6,,35,5,-2,0,0,0
Floating Eye Monster,126,3,2,7,"Monster Level 3 - L, R3",Dragon Breath level 3 – R2,Flying - L,Gaze Attack Level 2 - P,Extra Lives x2 - L,,266,,,,,60,80,18,16,20,0,,7,1,1,1,1,3,1,21,,60,80,18,16,0,0
Hill Giant,57,4,2,6,Giant Level 2 - L,Tough - L,Extra Lives x2 - L,,,,88,,,,,22,24,20,0,0,0,,6,1,1,3,1,1,1,18,,22,24,0,0,0,0
Mountain Giant,81,4,3,7,Giant Level 3- L,Tough - L,Extra Lives x3 - L,,,,124,,,,,35,24,40,0,0,0,,7,1,1,4,1,1,1,28,,35,24,0,0,0,0
Forest Giant,57,4,2,6,Giant Level 2 - L,Tough - L,Extra Lives x2 - L,,,,88,,,,,22,24,20,0,0,0,,6,1,1,3,1,1,1,18,,22,24,0,0,0,0
Storm Giant,101,3,3,6,Giant Level 4- L,Tough - L,Extra Lives x3 - L,Trample - L,,,190,,,,,55,24,40,7,0,0,,6,1,1,4,1,1,1,24,,55,24,0,7,0,0
Titan,82,3,3,8,Giant Level 5- R1,Tough - L,Extra Lives x4 - P,Trample - L,,,273,,,,,80,24,80,7,0,0,,8,1,1,1,1,1,1,8,,80,24,80,7,0,0
Ogre Infantry,24,4,2,7,Resilient - L,,,,,,48,,,,,12,0,0,0,0,0,,7,1,1,1,1,1,1,7,,12,0,0,0,0,0
Ogre Elite Infantry,33,3,2,7,Tough - L,,,,,,77,,,,,24,0,0,0,0,0,,7,1,1,1,1,1,1,7,,24,0,0,0,0,0
Ogre Rock Throwers,26,4,2,7,Shooters 0 - L,Resilient - L,,,,,52,,,,,5,12,0,0,0,0,,7,1,1,1,1,1,1,7,,5,12,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orc Brutes,25,4,2,7,"Berserk - L, R3",Devastating Charge - L,,,,,50,,,,,8,7,0,0,0,0,,7,1,1,1,1,1,1,7,,8,7,0,0,0,0
Orc Warriors,20,4,2,6,Devastating Charge - L,,,,,,39,,,,,7,0,0,0,0,0,,6,1,1,1,1,1,1,6,,7,0,0,0,0,0
Orc Pikemen,19,4,2,6,Pikes,,,,,,38,,,,,6,0,0,0,0,0,,6,1,1,1,1,1,1,6,,6,0,0,0,0,0
Orcling Rabble,#NUM!,5,1,5,Rabble,,,,,,9,,,,,-14,0,0,0,0,0,,3,1,1,1,1,1,1,3,,-14,0,0,0,0,0
Orc Rabble,2,5,2,5,Rabble,,,,,,12,,,,,-14,0,0,0,0,0,,3,1,1,1,1,1,1,3,,-14,0,0,0,0,0
Orc Rabble Pikemen,11,4,2,6,Pikes,Rabble,,,,,27,,,,,6,-14,0,0,0,0,,6,1,1,1,1,1,1,6,,6,-14,0,0,0,0
Orc Rabble Javelineers,#NUM!,4,0,5,Shooters 0 - L,Rabble,,,,,13,,,,,5,-14,0,0,0,0,,3,1,1,1,1,1,1,3,,5,-14,0,0,0,0
Elite Orc Warriors,23,3,2,6,Devastating Charge - L,,,,,,52,,,,,7,0,0,0,0,0,,6,1,1,1,1,1,1,6,,7,0,0,0,0,0
Heavy Orc Warriors,17,4,2,7,Slow,,,,,,37,,,,,-1,0,0,0,0,0,,7,1,1,1,1,1,1,7,,-1,0,0,0,0,0
Orc Slingers,13,4,1,5,Shooters 1 - L,,,,,,33,,,,,10,0,0,0,0,0,,3,1,1,1,1,1,1,3,,10,0,0,0,0,0
